Metro-Goldwyn-Mayer (MGM),Where East Is East
First National Pictures,Why Be Good?
Metro-Goldwyn-Mayer (MGM),Wild Orchids
Paramount Pictures,The Wild Party
Universum Film (UFA),Die wunderbare LÃ¼ge der Nina Petrowna
Columbia Pictures,The Younger Generation
D.W. Griffith Productions,Abraham Lincoln
Universal Pictures,All Quiet on the Western Front
Paramount Pictures,Animal Crackers
Metro-Goldwyn-Mayer (MGM),Anna Christie
Metro-Goldwyn-Mayer (MGM),Anna Christie
Le Film d'Art,Au bonheur des dames
First National Pictures,Back Pay
Joseph M. Schenck Productions,The Bat Whispers
Joseph M. Schenck Productions,Be Yourself!
RKO Radio Pictures,Beau Ideal
Paramount Pictures,The Benson Murder Case
